,Zone Name,VRF Terminal Name,Cooling Coil Name,Heating Coil Name
58,THERMAL ZONE: UNIT_0410,VRF Heat Pump - vrf_zones_04-1 - Thermal Zone: Unit_0410,Zone HVAC Terminal Unit Variable Refrigerant Flow 45 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 45 Heating Coil
59,THERMAL ZONE: UNIT_0411,VRF Heat Pump - vrf_zones_04-1 - Thermal Zone: Unit_0411,Zone HVAC Terminal Unit Variable Refrigerant Flow 46 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 46 Heating Coil
60,THERMAL ZONE: UNIT_0412,VRF Heat Pump - vrf_zones_04-1 - Thermal Zone: Unit_0412,Zone HVAC Terminal Unit Variable Refrigerant Flow 47 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 47 Heating Coil
61,THERMAL ZONE: UNIT_0413,VRF Heat Pump - vrf_zones_04-1 - Thermal Zone: Unit_0413,Zone HVAC Terminal Unit Variable Refrigerant Flow 48 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 48 Heating Coil
62,THERMAL ZONE: UNIT_0414,VRF Heat Pump - vrf_zones_04-1 - Thermal Zone: Unit_0414,Zone HVAC Terminal Unit Variable Refrigerant Flow 49 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 49 Heating Coil
63,THERMAL ZONE: UNIT_0415,VRF Heat Pump - vrf_zones_04-1 - Thermal Zone: Unit_0415,Zone HVAC Terminal Unit Variable Refrigerant Flow 50 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 50 Heating Coil
64,THERMAL ZONE: UNIT_0416,VRF Heat Pump - vrf_zones_04-1 - Thermal Zone: Unit_0416,Zone HVAC Terminal Unit Variable Refrigerant Flow 51 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 51 Heating Coil
65,THERMAL ZONE: UNIT_0417_4B,VRF Heat Pump - vrf_zones_03-2 - Thermal Zone: Unit_0317_4B,Zone HVAC Terminal Unit Variable Refrigerant Flow 38 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 38 Heating Coil
66,THERMAL ZONE: UNIT_0501_4B,VRF Heat Pump - vrf_zones_02-2 - Thermal Zone: Unit_0201_4B,Zone HVAC Terminal Unit Variable Refrigerant Flow 16 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 16 Heating Coil
67,THERMAL ZONE: UNIT_0502,VRF Heat Pump - vrf_zones_05-1 - Thermal Zone: Unit_0502,Zone HVAC Terminal Unit Variable Refrigerant Flow 58 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 58 Heating Coil
68,THERMAL ZONE: UNIT_0503,VRF Heat Pump - vrf_zones_05-1 - Thermal Zone: Unit_0503,Zone HVAC Terminal Unit Variable Refrigerant Flow 59 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 59 Heating Coil
69,THERMAL ZONE: UNIT_0504,VRF Heat Pump - vrf_zones_05-1 - Thermal Zone: Unit_0504,Zone HVAC Terminal Unit Variable Refrigerant Flow 60 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 60 Heating Coil
70,THERMAL ZONE: UNIT_0505,VRF Heat Pump - vrf_zones_05-1 - Thermal Zone: Unit_0505,Zone HVAC Terminal Unit Variable Refrigerant Flow 61 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 61 Heating Coil
71,THERMAL ZONE: UNIT_0506,VRF Heat Pump - vrf_zones_05-1 - Thermal Zone: Unit_0506,Zone HVAC Terminal Unit Variable Refrigerant Flow 62 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 62 Heating Coil
72,THERMAL ZONE: UNIT_0507_3B,VRF Heat Pump - vrf_zones_03-2 - Thermal Zone: Unit_0307_3B,Zone HVAC Terminal Unit Variable Refrigerant Flow 36 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 36 Heating Coil
73,THERMAL ZONE: UNIT_0508,VRF Heat Pump - vrf_zones_05-1 - Thermal Zone: Unit_0508,Zone HVAC Terminal Unit Variable Refrigerant Flow 63 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 63 Heating Coil
74,THERMAL ZONE: UNIT_0509_2B,VRF Heat Pump - vrf_zones_03-2 - Thermal Zone: Unit_0309_2B,Zone HVAC Terminal Unit Variable Refrigerant Flow 37 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 37 Heating Coil
75,THERMAL ZONE: UNIT_0510,VRF Heat Pump - vrf_zones_05-1 - Thermal Zone: Unit_0510,Zone HVAC Terminal Unit Variable Refrigerant Flow 64 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 64 Heating Coil
76,THERMAL ZONE: UNIT_0511,VRF Heat Pump - vrf_zones_05-1 - Thermal Zone: Unit_0511,Zone HVAC Terminal Unit Variable Refrigerant Flow 65 Cooling Coil,Zone HVAC Terminal Unit Variable Refrigerant Flow 65 Heating Coil
